Number,Full Name,DOB,State,Term of Office,Party,Previous Office,Vice President
20,James A. Garfield,"November 19, 1831 – September 19, 1881
(aged 49)",Ohio,"March 4, 1881
–
September 19, 1881
[n 10][n 11]",Republican,"U.S. Representative for Ohio's 19th
(1863–1881)",Chester A. Arthur
21,Chester A. Arthur,"October 5, 1829 – November 18, 1886
(aged 57)",New York,"September 19, 1881
–
March 4, 1885",Republican,"Vacant
[n 5]",""
22,Grover Cleveland,"March 18, 1837 – June 24, 1908
(aged 71)",New York,"March 4, 1885
–
March 4, 1889
[n 3]",Democratic,"28th
Governor of New York
(1883–1885)","Thomas A. Hendricks
March 4, 1885 – November 25, 1885
[n 4][n 10]"
23,Benjamin Harrison,"August 20, 1833 – March 13, 1901
(aged 67)",Indiana,"March 4, 1889
–
March 4, 1893
[n 3]",Republican,"U.S. Senator (Class 1) from Indiana
(1881–1887)",Levi P. Morton
24,Grover Cleveland,"March 18, 1837 – June 24, 1908
(aged 71)",New York,"March 4, 1893
–
March 4, 1897",Democratic,"22nd
President of the United States
(1885–1889)",Adlai Stevenson
25,William McKinley,"January 29, 1843 – September 14, 1901
(aged 58)",Ohio,"March 4, 1897
–
September 14, 1901
[n 10][n 11]",Republican,"39th
Governor of Ohio
(1892–1896)","Garret Hobart
March 4, 1897 – November 21, 1899
[n 4]"
26,Theodore Roosevelt,"October 27, 1858 – January 6, 1919
(aged 60)",New York,"September 14, 1901
–
March 4, 1909
[n 7]",Republican,"Vacant
September 14, 1901 – March 4, 1905
[n 5]",""
27,William Howard Taft,"September 15, 1857 – March 8, 1930
(aged 72)",Ohio,"March 4, 1909
–
March 4, 1913
[n 3]",Republican,"42nd
United States Secretary of War
(1904–1908)","James S. Sherman
March 4, 1909 – October 30, 1912
[n 4][n 10]"
28,Woodrow Wilson,"December 28, 1856 – February 3, 1924
(aged 67)",New Jersey,"March 4, 1913
–
March 4, 1921",Democratic,"34th
Governor of New Jersey
(1911–1913)",Thomas R. Marshall
29,Warren G. Harding,"November 2, 1865 – August 2, 1923
(aged 57)",Ohio,"March 4, 1921
–
August 2, 1923
[n 10][n 4]",Republican,"U.S. Senator (Class 3) from Ohio
(1915–1921)",Calvin Coolidge
30,Calvin Coolidge,"July 4, 1872 – January 5, 1933
(aged 60)",Massachusetts,"August 2, 1923
–
March 4, 1929",Republican,"Vacant
August 2, 1923 – March 4, 1925
[n 5]",""
31,Herbert Hoover,"August 10, 1874 – October 20, 1964
(aged 90)",California,"March 4, 1929
–
March 4, 1933
[n 3]",Republican,"3rd
United States Secretary of Commerce
(1921–1928)",Charles Curtis
32,Franklin D. Roosevelt,"January 30, 1882 – April 12, 1945
(aged 63)",New York,"March 4, 1933 (1933-03-04)
–
April 12, 1945 (1945-04-12)
[n 10][n 4]",Democratic,"44th
Governor of New York
(1929–1932)","John Nance Garner
March 4, 1933 – January 20, 1941"
33,Harry S. Truman,"May 8, 1884 – December 26, 1972
(aged 88)",Missouri,"April 12, 1945
–
January 20, 1953",Democratic,"Vacant
April 12, 1945 – January 20, 1949
[n 5]",""
34,Dwight D. Eisenhower,"October 14, 1890 – March 28, 1969
(aged 78)","New York
and
Kansas","January 20, 1953
–
January 20, 1961
[n 15]",Republican,"Supreme Allied Commander Europe
(1949–1952)",Richard Nixon
35,John F. Kennedy,"May 29, 1917 – November 22, 1963
(aged 46)",Massachusetts,"January 20, 1961
–
November 22, 1963
[n 10][n 11]",Democratic,"U.S. Senator (Class 1) from Massachusetts
(1953–1960)",Lyndon B. Johnson
36,Lyndon B. Johnson,"August 27, 1908 – January 22, 1973
(aged 64)",Texas,"November 22, 1963
–
January 20, 1969",Democratic,"Vacant
November 22, 1963 – January 20, 1965
[n 5]",""
37,Richard Nixon,"January 9, 1913 – April 22, 1994
(aged 81)","New York
and
California","January 20, 1969
–
August 9, 1974
[n 6]",Republican,"36th
Vice President of the United States
(1953–1961)","Spiro Agnew
January 20, 1969 – October 10, 1973
[n 6]"
38,Gerald Ford,"July 14, 1913 – December 26, 2006
(aged 93)",Michigan,"August 9, 1974
–
January 20, 1977
[n 3][n 16]",Republican,"Vacant
August 9, 1974 – December 19, 1974
[n 5]",""
39,Jimmy Carter,"Born: (1924-10-01) October 1, 1924 (age 91)",Georgia,"January 20, 1977
–
January 20, 1981
[n 3]",Democratic,"76th
Governor of Georgia
(1971–1975)",Walter Mondale
40,Ronald Reagan,"February 6, 1911 – June 5, 2004
(aged 93)",California,"January 20, 1981
–
January 20, 1989",Republican,"33rd
Governor of California
(1967–1975)",George H. W. Bush
41,George H. W. Bush,"Born: (1924-06-12) June 12, 1924 (age 91)",Texas,"January 20, 1989
–
January 20, 1993
[n 3]",Republican,"43rd
Vice President of the United States",Dan Quayle
42,Bill Clinton,"Born: (1946-08-19) August 19, 1946 (age 69)",Arkansas,"January 20, 1993
–
January 20, 2001",Democratic,"40th & 42nd
Governor of Arkansas
(1979–1981, 1983–1992)",Al Gore
43,George W. Bush,"Born: (1946-07-06) July 6, 1946 (age 69)",Texas,"January 20, 2001
–
January 20, 2009",Republican,"46th
Governor of Texas
(1995–2000)",Dick Cheney
44,Barack Obama,"Born: (1961-08-04) August 4, 1961 (age 54)",Illinois,"January 20, 2009
–
Incumbent",Democratic,"U.S. Senator (Class 3) from Illinois
(2005–2008)",Joe Biden
